Assembly	MicrococcusLuteusNCTC2665-pe-150-300-10-120_contigs	MicrococcusLuteusNCTC2665-pe-150-300-10-30_contigs	MicrococcusLuteusNCTC2665-pe-150-450-10-180_contigs	MicrococcusLuteusNCTC2665-pe-150-450-10-45_contigs	MicrococcusLuteusNCTC2665-pe-150-600-10-240_contigs	MicrococcusLuteusNCTC2665-pe-150-600-10-60_contigs	MicrococcusLuteusNCTC2665-pe-50-100-10-10_contigs	MicrococcusLuteusNCTC2665-pe-50-100-10-40_contigs	MicrococcusLuteusNCTC2665-pe-50-150-10-15_contigs	MicrococcusLuteusNCTC2665-pe-50-150-10-60_contigs	MicrococcusLuteusNCTC2665-pe-50-200-10-20_contigs	MicrococcusLuteusNCTC2665-pe-50-200-10-80_contigs	MicrococcusLuteusNCTC2665-se-150-300-10_contigs	MicrococcusLuteusNCTC2665-se-150-450-10_contigs	MicrococcusLuteusNCTC2665-se-150-600-10_contigs	MicrococcusLuteusNCTC2665-se-50-100-10_contigs	MicrococcusLuteusNCTC2665-se-50-150-10_contigs	MicrococcusLuteusNCTC2665-se-50-200-10_contigs	MicrococcusLuteusNCTC2665-pe-250-1000-10-100_contigs	MicrococcusLuteusNCTC2665-pe-250-1000-10-400_contigs	MicrococcusLuteusNCTC2665-pe-250-500-10-200_contigs	MicrococcusLuteusNCTC2665-pe-250-500-10-50_contigs	MicrococcusLuteusNCTC2665-pe-250-750-10-300_contigs	MicrococcusLuteusNCTC2665-pe-250-750-10-75_contigs	MicrococcusLuteusNCTC2665-se-250-1000-10_contigs	MicrococcusLuteusNCTC2665-se-250-500-10_contigs	MicrococcusLuteusNCTC2665-se-250-750-10_contigs
# fully unaligned contigs	0	0	0	0	0	0	0	1	1	0	8	5	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Fully unaligned length	0	0	0	0	0	0	0	564	551	0	4935	2955	0	0	0	588	1998	0	0	0	0	0	0	0	0	0	0
# partially unaligned contigs	0	0	0	0	0	0	15	19	22	17	21	10	0	0	0	27	33	29	0	0	0	0	0	0	0	0	0
    # with misassembly	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    # both parts are significant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Partially unaligned length	0	0	0	0	0	0	846	844	1076	927	2231	627	0	0	0	4447	1733	2181	0	0	0	0	0	0	0	0	0
# N's	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
