All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MicrococcusLuteusNCTC2665-pe-150-300-10-120_contigs  MicrococcusLuteusNCTC2665-pe-150-300-10-30_contigs  MicrococcusLuteusNCTC2665-pe-150-450-10-180_contigs  MicrococcusLuteusNCTC2665-pe-150-450-10-45_contigs  MicrococcusLuteusNCTC2665-pe-150-600-10-240_contigs  MicrococcusLuteusNCTC2665-pe-150-600-10-60_contigs  MicrococcusLuteusNCTC2665-pe-50-100-10-10_contigs  MicrococcusLuteusNCTC2665-pe-50-100-10-40_contigs  MicrococcusLuteusNCTC2665-pe-50-150-10-15_contigs  MicrococcusLuteusNCTC2665-pe-50-150-10-60_contigs  MicrococcusLuteusNCTC2665-pe-50-200-10-20_contigs  MicrococcusLuteusNCTC2665-pe-50-200-10-80_contigs  MicrococcusLuteusNCTC2665-se-150-300-10_contigs  MicrococcusLuteusNCTC2665-se-150-450-10_contigs  MicrococcusLuteusNCTC2665-se-150-600-10_contigs  MicrococcusLuteusNCTC2665-se-50-100-10_contigs  MicrococcusLuteusNCTC2665-se-50-150-10_contigs  MicrococcusLuteusNCTC2665-se-50-200-10_contigs  MicrococcusLuteusNCTC2665-pe-250-1000-10-100_contigs  MicrococcusLuteusNCTC2665-pe-250-1000-10-400_contigs  MicrococcusLuteusNCTC2665-pe-250-500-10-200_contigs  MicrococcusLuteusNCTC2665-pe-250-500-10-50_contigs  MicrococcusLuteusNCTC2665-pe-250-750-10-300_contigs  MicrococcusLuteusNCTC2665-pe-250-750-10-75_contigs  MicrococcusLuteusNCTC2665-se-250-1000-10_contigs  MicrococcusLuteusNCTC2665-se-250-500-10_contigs  MicrococcusLuteusNCTC2665-se-250-750-10_contigs
N50                          43932                                                60765                                               102777                                               88969                                               98078                                                88969                                               618                                                604                                                606                                                592                                                628                                                638                                                48963                                            50440                                            50442                                            757                                             755                                             727                                             113302                                                85428                                                 84544                                                98696                                               85776                                                94320                                               110933                                            113303                                           76705                                          
NG50                         42891                                                57169                                               84702                                                88969                                               95226                                                88969                                               -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  47941                                            50440                                            50442                                            -                                               -                                               -                                               113302                                                85428                                                 84544                                                98696                                               85729                                                93380                                               109333                                            113303                                           76705                                          
N75                          25764                                                32552                                               35650                                                43816                                               41379                                                43816                                               544                                                540                                                535                                                544                                                544                                                549                                                28565                                            31098                                            37461                                            605                                             602                                             597                                             49335                                                 48009                                                 41051                                                41025                                               40734                                                51076                                               47348                                             65786                                            40734                                          
NG75                         25202                                                31246                                               31673                                                40944                                               40634                                                41136                                               -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  27712                                            29447                                            31095                                            -                                               -                                               -                                               43917                                                 47834                                                 40762                                                40780                                               37707                                                48135                                               43885                                             51536                                            39611                                          
L50                          15                                                   12                                                  10                                                   9                                                   10                                                   9                                                   49                                                 56                                                 67                                                 52                                                 61                                                 56                                                 14                                               15                                               13                                               516                                             495                                             505                                             8                                                     10                                                    10                                                   9                                                   8                                                    9                                                   8                                                 9                                                10                                             
LG50                         16                                                   13                                                  11                                                   9                                                   11                                                   9                                                   -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  15                                               15                                               13                                               -                                               -                                               -                                               8                                                     10                                                    10                                                   9                                                   9                                                    10                                                  9                                                 9                                                10                                             
L75                          34                                                   26                                                  22                                                   18                                                  20                                                   18                                                  90                                                 98                                                 116                                                89                                                 109                                                100                                                30                                               30                                               27                                               915                                             873                                             891                                             15                                                    20                                                    20                                                   19                                                  18                                                   18                                                  16                                                16                                               21                                             
LG75                         35                                                   27                                                  23                                                   19                                                  21                                                   19                                                  -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  31                                               31                                               29                                               -                                               -                                               -                                               16                                                    21                                                    21                                                   20                                                  19                                                   19                                                  17                                                17                                               22                                             
# misassemblies              6                                                    0                                                   3                                                    2                                                   4                                                    3                                                   40                                                 39                                                 36                                                 38                                                 29                                                 40                                                 0                                                0                                                0                                                190                                             165                                             199                                             5                                                     3                                                     8                                                    4                                                   6                                                    5                                                   4                                                 5                                                1                                              
# misassembled contigs       6                                                    0                                                   3                                                    2                                                   4                                                    3                                                   36                                                 35                                                 35                                                 33                                                 29                                                 36                                                 0                                                0                                                0                                                177                                             153                                             183                                             5                                                     3                                                     6                                                    4                                                   5                                                    4                                                   4                                                 5                                                1                                              
Misassembled contigs length  159810                                               0                                                   201986                                               149000                                              202268                                               119423                                              28644                                              25801                                              27756                                              25239                                              25044                                              26692                                              0                                                0                                                0                                                170289                                          146492                                          162502                                          271865                                                95192                                                 401720                                               283342                                              400401                                               415550                                              400029                                            240903                                           255354                                         
# local misassemblies        2                                                    0                                                   5                                                    1                                                   0                                                    2                                                   0                                                  0                                                  0                                                  1                                                  0                                                  1                                                  0                                                0                                                0                                                5                                               4                                               3                                               0                                                     0                                                     1                                                    0                                                   0                                                    0                                                   0                                                 0                                                0                                              
